show_id,director_name
59490,Werner Herzog
45272,Shana Feste
73211,Marius Holst
46020,Declan O'Brien
77235,John Lyde
45649,Quentin Dupieux
68252,Kim Min-suk
743885,Hiroshi Kashiwakura
46812,Dario Piana
52077,Dany Boon
34182,Hu Mei
35458,Tim Allen
51991,Jean-Pierre Améris
63498,Javier Mariscal
63498,Fernando Trueba
63498,Tono Errando
35402,Dolph Lundgren
45094,Tony Goldwyn
51241,Xavier Dolan
62592,James Hayman
46920,Daniele Luchetti
29564,P.J. Pesce
44944,Tyler Perry
54700,Tom Provost
33107,Marcos Efron
38568,Jeffrey Friedman
38568,Rob Epstein
113727,Walter Doehner
46829,Richard J. Lewis
56937,Mikkel Brænne Sandemose
148605,John Lasseter
42307,Dean Francis
29159,Dario Argento
36085,Christian Ditter
45324,George Hickenlooper
38033,Deon Taylor
44425,Abhinav Kashyap
48392,Ola Simonsson
48392,Johannes Stjärne Nilsson
38318,Nikita Mikhalkov
58051,Sajid Khan
32926,Togan Gökbakar
62321,Athina Rachel Tsangari
59507,Antony Cordier
54559,Samuel Tourneux
54559,Kyle Balda
32845,David DeFalco
36940,Paolo Virzì
58156,Lisa Langseth
59435,Marilyn Agrelo
62728,Rowan Joffe
40794,Ferzan Özpetek
70761,Nanouk Leopold
41345,Mo Ali
51888,Chris McKay
48303,Abbas Kiarostami
53172,Malcolm Venville
58718,Andrew Hull
45077,Richard Levine
55061,Geoffrey Sax
67203,Víctor García
44027,Werner Herzog
44992,Toni Myers
41413,Federico Moccia
49001,Gilles Marchand
63727,Manuel Carballo
34335,Chris Shadley
51071,Eric Lartigau
41135,Fouad Mikati
50090,Jang Hoon
54441,Michele Placido
51450,Luc Vinciguerra
50461,Hiroaki Matsuyama
38448,Neil Jordan
12645,Baltasar Kormákur
80188,Michael Morrissey
42296,Henry Joost
42296,Ariel Schulman
354870,David Notman-Watt
44678,Kaare Andrews
43943,Philip Seymour Hoffman
38407,Mikael Håfström
234284,Yasuhiro Yoshiura
38180,Joaquim Dos Santos
42189,Shannon Hartman
53404,Alain Corneau
59944,Naoto Kumazawa
38150,Philip Ridley
57627,Puttipong Promsaka Na Sakolnakorn
57627,Wasin Pokpong
36515,Catherine Cyran
121576,Giacomo Campiotti
62439,Kim Yeong-tak
31900,Joann Sfar
42950,Dallas Jenkins
45745,Colin Levy
44946,Michael W. Watkins
48669,Dan Garcia
35221,Trent Cooper
48015,Jonathan Glendening
51512,Svetozar Ristovski
53656,Yun-ho Yang
53656,Kim Kyu-tae
44877,Noel Clarke
44877,Mark Davis
40720,Joel Schumacher
36736,Greg Franklin
34563,Rick Famuyiwa
43642,Michael Feifer
49958,Josh Reed
43090,William Phillips
39285,Gil Junger
50272,Jorge Michel Grau
50365,Romain Gavras
86843,Terry Dougas
86843,Nikki Frakes
86843,Will Hess
53399,Saverio Costanzo
47177,Mark McQueen
82628,Amir Valinia
45075,Lee Joon-ik
44263,Benny Chan Muk-Sing
46104,Scud
40817,Gabriele Muccino
39053,Mark Duplass
39053,Jay Duplass
48946,Hideo Nakata
44594,Chris D'Arienzo
64694,Alejandro Springall
41371,Mark Quod
52264,Jean-Loup Felicioli
52264,Alain Gagnol
45316,Vikramaditya Motwane
75311,Alexandre O. Philippe
52259,Nicole Garcia
47763,Jon Knautz
40619,Teddy Newton
70076,Gary Harvey
299340,José Luis Alemán
61404,Fred Cavayé
51090,Yann Samuell
56014,Fausto Brizzi
11403,Matthew Leutwyler
57749,James Rabbitts
46198,Daryn Tufts
136294,Dominique Farrugia
136294,Arnaud Lemort
55785,Peter Mullan
44269,Géraldine Nakache
44269,Hervé Mimran
54456,Mani Ratnam
53840,Ugo Fabrizio Giordani
51794,Mahsun Kırmızıgül
55741,Chen Kaige
75170,Hattie Dalton
45332,Nacho G. Velilla
61062,Ryoo Seung-wan
58013,Paolo Genovese
47559,Justin Chadwick
63414,A. Karunakaran
38264,Dante Lam Chiu-Yin
44282,Marco Berger
30844,David Lister
49821,Caco Souza
62871,Sam Garbarski
56607,Joo Kyeong-joong
45756,Dick Maas
40900,Bradford May
46934,Bernard Rose
57809,Yaroslav Chevazhevsky
57809,Timur Bekmambetov
57809,Ignas Jonynas
57809,Aleksandr Voytinskiy
57809,Dmitry Kiselev
57809,Alexander Andryuschenko
46689,Lucy Walker
46368,Peter Atencio
52338,James Keach
60809,Marc Rothemund
46523,Steffen Haars
46523,Flip van der Kuil
70740,Jeffery Scott Lando
47386,Andy Mitton
47386,Jesse Holland
52696,Maneesh Sharma
52060,Gil Junger
41988,Joaquim Dos Santos
38166,Rob Lieberman
57389,Michelangelo Frammartino
32612,Michael Oblowitz
50053,Trey Stokes
48243,Jerzy Skolimowski
35217,Markus Goller
46064,Mark L. Taylor
39693,Alex Law Kai-Yui
35428,Dmitriy Dyachenko
89825,Masaya Fujimori
54532,J.C. Calciano
37951,Prakash Jha
129182,Masakazu Migita
35716,Stan Foster
48373,Matt Thompson
